nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
Kontes Penamaan Brand Frozen Food,contest,Desain Grafis & Branding,Brand Nama/Tagline,an******26,"October 2, 2023, 9:07 AM","October 2, 2023, 4:34 PM",success,"October 2, 2023, 4:47 PM","4,110,866"
(Package - PREMIUM) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),an*****en,"July 20, 2017, 4:35 AM","October 3, 2023, 1:04 AM",,"January 2, 1900, 12:00 AM",0
VASC-JO-202310002,contest,Desain Grafis & Branding,Desain Website,b1****78,"April 17, 2015, 5:09 PM","October 3, 2023, 7:09 AM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Logo dan Stationey Untuk Perusahaan Alat Rumah Tangga / Household Appliance,contest,Desain Grafis & Branding,Desain Logo & Stationery,ca*****ya,"November 26, 2013, 3:17 PM","October 3, 2023, 9:59 AM",success,"October 3, 2023, 10:03 AM","5,465,415"
(Package - PREMIUM) Penulisan Buku & E-Book 50-150 Halaman,package,Penulisan & Penerjemahan,Buku & Penulisan E-Book,al******61,"October 3, 2023, 9:04 AM","October 3, 2023, 10:01 AM",success,"October 4, 2023, 4:47 PM","7,704,128"
Pembuatan Desain Konten,private,,,ad****ls,"September 19, 2023, 10:57 AM","October 3, 2023, 1:32 PM",success,"October 3, 2023, 1:46 PM","633,348"
Freelance Assistant SEO Writer,public,,,na******70,"August 22, 2023, 1:30 PM","October 3, 2023, 1:50 PM",success,"October 4, 2023, 8:30 AM","1,305,821"
Kontes Desain Logo untuk Merah Putih Investment,contest,Desain Grafis & Branding,Desain Logo,le***28,"November 18, 2022, 8:06 AM","October 3, 2023, 2:56 PM",success,"October 11, 2023, 2:40 PM","2,577,925"
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,he******64,"October 3, 2023, 3:11 PM","October 3, 2023, 3:32 PM",success,"October 3, 2023, 3:33 PM","527,854"
Desain grafis,contest,Desain Grafis & Branding,Desain Label,ro******34,"October 3, 2023, 6:22 PM","October 3, 2023, 6:28 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Inggris),package,Penulisan & Penerjemahan,Penulisan Blog & Article,su*********a_,"October 3, 2023, 2:09 PM","October 3, 2023, 11:22 PM",,"January 2, 1900, 12:00 AM",0
Belajar Bahasa Inggris,contest,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,me******84,"October 4, 2023, 12:09 AM","October 4, 2023, 12:14 AM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Logo untuk Mahesa Nusantara Artha,contest,Desain Grafis & Branding,Desain Logo,Ma****************ha,"September 18, 2023, 1:14 AM","October 4, 2023, 2:20 AM",,"October 4, 2023, 2:20 AM",0
Jasa pembuatan Design kemasan & label produk parfume,private,,,in******80,"October 4, 2023, 10:42 AM","October 4, 2023, 11:53 AM",,"January 2, 1900, 12:00 AM",0
Desain Booth Pameran,private,,,fk*******ar,"December 21, 2017, 4:53 PM","October 4, 2023, 11:56 AM",,"January 2, 1900, 12:00 AM",0
Desain Booth Pameran,private,,,nu******45,"October 3, 2023, 2:59 PM","October 4, 2023, 1:15 PM",success,"October 4, 2023, 1:55 PM","1,880,012"
Design label & Kemasan Parfume,private,,,in******80,"October 4, 2023, 10:42 AM","October 4, 2023, 1:54 PM",success,"October 4, 2023, 2:06 PM","1,253,728"
(Package - BASIC) Penulisan Buku & E-Book 50-150 Halaman,package,Penulisan & Penerjemahan,Buku & Penulisan E-Book,ra******02,"October 4, 2023, 2:01 PM","October 4, 2023, 2:27 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,ra******02,"October 4, 2023, 2:01 PM","October 4, 2023, 2:40 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),ra******02,"October 4, 2023, 2:01 PM","October 4, 2023, 2:48 PM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Flyer/Brosur Penerimaan Peserta Didik Baru 2024/2025 SMK Management Training System,contest,Desain Grafis & Branding,Desain Brosur/Flyer,ge******37,"September 28, 2023, 6:55 PM","October 4, 2023, 3:18 PM",success,"October 4, 2023, 3:59 PM","333,492"
Pembuatan Brand Guidlines,private,,,no******28,"October 4, 2023, 3:36 PM","October 4, 2023, 4:24 PM",success,"October 12, 2023, 5:13 PM","1,563,510"
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,in**************ce,"September 22, 2022, 9:23 AM","October 4, 2023, 5:32 PM",success,"October 12, 2023, 5:04 PM","2,417,285"
Logo Design,public,,,az******23,"March 5, 2023, 3:41 PM","October 4, 2023, 6:34 PM",success,"October 4, 2023, 6:36 PM","489,407"
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,de*******at,"October 23, 2019, 2:33 PM","October 4, 2023, 7:31 PM",success,"October 4, 2023, 7:33 PM","179,960"
kontess desain logo untung bengkel las,contest,Desain Grafis & Branding,Desain Logo,ha******97,"October 4, 2023, 7:53 PM","October 4, 2023, 7:59 PM",,"January 2, 1900, 12:00 AM",0
(Package - PLUS) Desain Kemasan untuk Box/Pouch/Sachet/Botol (1-3 Varian),package,Desain Grafis & Branding,Desain Kemasan,od******30,"October 4, 2023, 9:27 PM","October 5, 2023, 8:32 AM",success,"October 5, 2023, 10:18 AM","792,472"
Desain Kost Minimalis Modern Aesthetic,public,,,ka*******or,"October 25, 2016, 9:52 PM","October 5, 2023, 9:45 AM",success,"October 5, 2023, 11:36 AM","2,088,965"
(Package - PLUS) Desain 3D Perspektif Fasad Bangunan/Eksterior (Luas 100-300 m2),package,Desain Grafis & Branding,3D & Perspektif,de******88,"September 19, 2019, 9:23 PM","October 5, 2023, 9:47 AM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pembuatan Website Toko Online (Gratis Upload 10-500 Produk),package,Web & Pemrograman,Pembuatan Toko Online,ok*********es,"October 5, 2023, 9:55 AM","October 5, 2023, 9:55 AM",,"January 2, 1900, 12:00 AM",0
(Package - PREMIUM) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),ok*********es,"October 5, 2023, 9:55 AM","October 5, 2023, 9:56 AM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,hu******04,"September 30, 2023, 11:35 AM","October 5, 2023, 10:37 AM",success,"October 5, 2023, 10:44 AM","179,970"
logo tufitn,contest,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,de******85,"October 5, 2023, 10:39 AM","October 5, 2023, 10:40 AM",,"January 2, 1900, 12:00 AM",0
Jasa Social Media Marketing untuk Alpha Agro Indonesia Bali,private,,,al**************ia,"April 6, 2022, 11:40 AM","October 5, 2023, 11:43 AM",success,"November 6, 2023, 12:27 PM","2,924,431"
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,ok*********es,"October 5, 2023, 9:55 AM","October 5, 2023, 2:22 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pembuatan Website Profil Perusahaan (5-14 halaman),package,Web & Pemrograman,Website Profil Perusahaan,sa******21,"October 3, 2023, 3:54 PM","October 5, 2023, 2:32 PM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Logo Untuk Ayam Geulis,contest,Desain Grafis & Branding,Desain Logo,xi******68,"July 31, 2023, 6:33 PM","October 5, 2023, 3:31 PM",success,"October 5, 2023, 3:33 PM","3,243,212"
Jasa Social Media Marketing untuk Alpha Agro Indonesia Jakarta,private,,,al**************ia,"April 6, 2022, 11:40 AM","October 5, 2023, 3:35 PM",success,"November 3, 2023, 2:17 PM","2,924,295"
(Package - JUNIOR) Frontend Developer,package,Web & Pemrograman,Pengembangan Website Lainnya,ne******18,"September 14, 2023, 3:26 PM","October 5, 2023, 4:56 PM",success,"October 5, 2023, 4:57 PM","3,166,509"
(Package - BASIC) Desain Label untuk Box/Pouch/Sachet/Botol (1-4 Varian),package,Desain Grafis & Branding,Desain Label,ad******82,"October 5, 2023, 8:04 PM","October 5, 2023, 8:05 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,sa******66,"October 5, 2023, 10:00 PM","October 5, 2023, 10:03 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Input Data di Excel/Spreadsheet (100-1000 Baris),package,Penulisan & Penerjemahan,Input Data di Excel,TO*******19,"October 5, 2023, 11:18 PM","October 5, 2023, 11:23 PM",,"January 2, 1900, 12:00 AM",0
Test mela,contest,Desain Grafis & Branding,Desain Kemasan,si*by,"May 3, 2016, 11:16 AM","October 6, 2023, 12:15 PM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Logo untuk Minuman Kekinian,contest,Desain Grafis & Branding,Desain Logo,na******79,"October 6, 2023, 1:12 PM","October 6, 2023, 1:36 PM",success,"October 7, 2023, 9:51 AM","2,910,399"
(Package - PREMIUM) Pembuatan 2-4 Video Iklan Produk/Jasa/Brand di IG/Youtube/TikTok (30-60 Detik),package,"Video, Fotografi & Audio",Video Shooting,uz******09,"September 18, 2023, 3:41 PM","October 6, 2023, 1:57 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,al******81,"October 6, 2023, 2:17 PM","October 6, 2023, 2:18 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Voice Over Indonesia (100-300 kata),package,"Video, Fotografi & Audio",Voice Over,uz******09,"September 18, 2023, 3:41 PM","October 6, 2023, 2:41 PM",success,"October 9, 2023, 2:50 PM","175,800"
Kontes Desain Sticker Mobil Box Traga untuk Brand Plastik Packing,contest,Desain Grafis & Branding,Desain Lainnya,fe******06,"October 6, 2023, 2:48 PM","October 6, 2023, 2:58 PM",success,"October 6, 2023, 3:09 PM","2,577,422"
Pembuatan jinggle Air minum kemasan Vr9,private,,,uz******09,"September 18, 2023, 3:41 PM","October 6, 2023, 2:59 PM",success,"October 9, 2023, 2:49 PM","1,155,795"
Desain logo untuk perusahaan,contest,Desain Grafis & Branding,Desain Logo & Stationery,ra******36,"October 6, 2023, 2:55 PM","October 6, 2023, 3:09 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pembuatan Website Profil Perusahaan (5-14 halaman),package,Web & Pemrograman,Website Profil Perusahaan,sa******21,"October 3, 2023, 3:54 PM","October 6, 2023, 6:02 PM",success,"October 6, 2023, 6:48 PM","6,414,627"
(Package - BASIC) Desain Label untuk Box/Pouch/Sachet/Botol (1-4 Varian),package,Desain Grafis & Branding,Desain Label,an******44,"October 6, 2023, 1:06 PM","October 6, 2023, 7:11 PM",,"January 2, 1900, 12:00 AM",0
10 Illustrasi Interaksi Antara Dokter dan Pasien,public,,,ju******ob,"August 6, 2021, 8:25 AM","October 7, 2023, 6:35 AM",success,"October 7, 2023, 6:36 AM","157,033"
(Package - PREMIUM) Pembuatan 2-4 Video Iklan Produk/Jasa/Brand di IG/Youtube/TikTok (30-60 Detik),package,"Video, Fotografi & Audio",Video Shooting,uz******09,"September 18, 2023, 3:41 PM","October 7, 2023, 9:28 AM",success,"October 9, 2023, 2:49 PM","5,831,650"
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,vo******03,"October 7, 2023, 9:49 AM","October 7, 2023, 12:13 PM",success,"October 7, 2023, 12:14 PM","179,515"
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Indonesia),package,Penulisan & Penerjemahan,Artikel & Blog Pos,fa******88,"October 7, 2023, 12:26 PM","October 7, 2023, 12:44 PM",,"January 2, 1900, 12:00 AM",0
Penulisan / Penerjemahan Profil Perusahaan dalam Bahasa Inggris,public,,,mi******42,"October 5, 2023, 11:36 AM","October 8, 2023, 4:36 AM",success,"October 9, 2023, 7:47 AM","156,769"
Logo Design for Thai Restaurant,contest,Desain Grafis & Branding,Desain Logo,ma*****rs,"May 27, 2023, 8:43 PM","October 8, 2023, 10:33 AM",success,"October 8, 2023, 9:10 PM","3,243,482"
Tim games,contest,Desain Grafis & Branding,Desain Logo,da******56,"October 8, 2023, 10:57 AM","October 8, 2023, 11:09 AM",,"January 2, 1900, 12:00 AM",0
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,no******31,"October 8, 2023, 1:33 PM","October 8, 2023, 1:44 PM",success,"October 8, 2023, 1:46 PM","528,462"
Logo Kebersihan,contest,Desain Grafis & Branding,Desain Logo,dm******85,"October 8, 2023, 3:41 PM","October 8, 2023, 3:46 PM",,"January 2, 1900, 12:00 AM",0
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,ah******65,"October 5, 2023, 8:59 AM","October 8, 2023, 7:28 PM",,"January 2, 1900, 12:00 AM",0
(Package - PREMIUM) Desain Kalender (5-13 Halaman),package,Desain Grafis & Branding,Desain Kalender,su********10,"May 10, 2013, 12:09 PM","October 8, 2023, 8:00 PM",,"January 2, 1900, 12:00 AM",0
"(Package - PLUS) Desain Undangan/Ucapan untuk Hari Raya, Ulang Tahun, Acara Perkawinan, Acara Peresmian (1-6 Halaman)",package,Desain Grafis & Branding,Desain Undangan,SK*****87,"October 8, 2023, 8:48 PM","October 8, 2023, 8:53 PM",success,"October 8, 2023, 8:55 PM","422,380"
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,wa******25,"October 8, 2023, 11:06 PM","October 8, 2023, 11:08 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Edit 15-60 Detik Video (Minimum Order 1 Video),package,"Video, Fotografi & Audio",Edit Video,zi******99,"October 9, 2023, 7:15 AM","October 9, 2023, 7:24 AM",,"January 2, 1900, 12:00 AM",0
Penulisan / Penerjemahan Profil Perusahaan dalam Bahasa Jepang,public,,,mi******42,"October 5, 2023, 11:36 AM","October 9, 2023, 7:43 AM",success,"October 9, 2023, 7:46 AM","313,478"
Translate NIB perusahaan ke Bahasa Inggris,public,,,jose,"February 4, 2015, 12:15 PM","October 9, 2023, 9:26 AM",success,"October 9, 2023, 9:27 AM","417,866"
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,by*****id,"January 12, 2023, 10:23 AM","October 9, 2023, 10:17 AM",success,"October 9, 2023, 10:18 AM","180,199"
Kontes Desain Logo untuk Satelit Telkomsat,contest,Desain Grafis & Branding,Desain Logo,co******94,"July 13, 2023, 10:17 AM","October 9, 2023, 10:54 AM",success,"October 9, 2023, 2:55 PM","7,842,595"
Kontes Nama untuk brand grup untuk makanan ringan pedas di indonesia,contest,Desain Grafis & Branding,Brand Nama/Tagline,gi*******02,"March 2, 2021, 11:44 AM","October 9, 2023, 10:58 AM",success,"October 9, 2023, 11:02 AM","7,176,316"
(Package - PREMIUM) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,wh******50,"October 5, 2023, 3:04 PM","October 9, 2023, 12:17 PM",success,"October 9, 2023, 12:22 PM","1,583,649"
Desain Branding untuk Perumahan/ Developer,public,,,Ba********ta,"August 30, 2019, 12:47 AM","October 9, 2023, 1:00 PM",success,"October 9, 2023, 1:04 PM","1,086,807"
Rak Display Ayu Pop,private,,,ye********an,"April 30, 2021, 2:29 PM","October 9, 2023, 1:15 PM",success,"November 8, 2023, 10:55 AM","521,406"
Pembuatan Desain Gambar Kerja Rumah,private,,,al******37,"September 27, 2023, 9:45 AM","October 9, 2023, 1:20 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Fotografi Makanan & Minuman (7-45 Foto),package,"Video, Fotografi & Audio",Fotografi Makanan & Minuman,yo******12,"October 9, 2023, 1:21 PM","October 9, 2023, 1:28 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Fotografi Makanan & Minuman (7-45 Foto),package,"Video, Fotografi & Audio",Fotografi Makanan & Minuman,yo******12,"October 9, 2023, 1:21 PM","October 9, 2023, 1:34 PM",,"January 2, 1900, 12:00 AM",0
Logo Restoran,private,,,sa******li,"January 26, 2018, 2:41 PM","October 9, 2023, 1:51 PM",success,"October 9, 2023, 1:53 PM","522,883"
logo roti,private,,,sa******li,"January 26, 2018, 2:41 PM","October 9, 2023, 1:53 PM",success,"October 9, 2023, 1:54 PM","418,570"
(Package - PREMIUM) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,In*****11,"September 30, 2019, 11:09 AM","October 9, 2023, 2:09 PM",success,"October 9, 2023, 4:36 PM","1,583,486"
ssdsd spdosad psodj pojsd,contest,Desain Grafis & Branding,Desain Logo,ri******75,"August 2, 2023, 11:06 AM","October 9, 2023, 2:34 PM",,"January 2, 1900, 12:00 AM",0
Desain font,contest,Desain Grafis & Branding,Desain Logo,la******92,"October 9, 2023, 2:21 PM","October 9, 2023, 2:47 PM",,"January 2, 1900, 12:00 AM",0
Proyek Finalisasi Edit E-Book & Terbit QR,private,,,ad******24,"September 21, 2023, 11:49 AM","October 9, 2023, 4:06 PM",success,"October 9, 2023, 6:50 PM","1,288,393"
365 Pilates Studio Logo Contest,contest,Desain Grafis & Branding,Desain Logo,36******es,"October 9, 2023, 2:26 PM","October 9, 2023, 4:07 PM",success,"October 11, 2023, 1:41 PM","2,577,295"
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,is******52,"October 9, 2023, 4:13 PM","October 9, 2023, 4:19 PM",success,"October 9, 2023, 4:39 PM","179,889"
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,so******z1,"December 14, 2020, 9:39 AM","October 9, 2023, 4:39 PM",success,"October 13, 2023, 3:01 PM","2,417,609"
Jasa Pembuatan Konten Sosial Media Bahasa Inggris,private,,,so******z1,"December 14, 2020, 9:39 AM","October 9, 2023, 4:42 PM",success,"October 13, 2023, 3:04 PM","1,563,385"
(Package - PREMIUM) Desain 12 Konten IG & FB,package,Desain Grafis & Branding,Desain Feed Instagram,mz****ri,"May 13, 2017, 1:42 PM","October 9, 2023, 4:54 PM",,"January 2, 1900, 12:00 AM",0
(Package - PREMIUM) Desain 12 Konten IG & FB,package,Desain Grafis & Branding,Desain Feed Instagram,mz****ri,"May 13, 2017, 1:42 PM","October 9, 2023, 4:56 PM",,"January 2, 1900, 12:00 AM",0
(Package - PREMIUM) Desain 12 Konten IG & FB,package,Desain Grafis & Branding,Desain Feed Instagram,mz****ri,"May 13, 2017, 1:42 PM","October 9, 2023, 4:59 PM",success,"October 10, 2023, 2:04 PM","3,577,024"
Design Pembutan Cover yasin,private,,,fa******09,"October 9, 2023, 4:38 PM","October 9, 2023, 5:07 PM",success,"October 9, 2023, 5:18 PM","366,274"
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,pa****71,"August 20, 2019, 11:22 AM","October 9, 2023, 5:16 PM",success,"October 9, 2023, 7:36 PM","2,427,981"
Logo bengkel,contest,Desain Grafis & Branding,Desain Logo,fe******63,"October 9, 2023, 8:46 PM","October 9, 2023, 8:51 PM",,"January 2, 1900, 12:00 AM",0
(Package - PREMIUM) Desain Brosur/Flyer (1 Halaman/Lipat 2/Lipat 3),package,Desain Grafis & Branding,Desain Brosur/Flyer,me*********ro,"July 26, 2018, 2:22 PM","October 10, 2023, 8:55 AM",,"January 2, 1900, 12:00 AM",0
Desain Katalog & Promosi,public,,,ga******pl,"August 1, 2023, 2:07 PM","October 10, 2023, 9:13 AM",success,"October 10, 2023, 11:58 AM","522,917"
(Package - PREMIUM) Desain Brosur/Flyer (1 Halaman/Lipat 2/Lipat 3),package,Desain Grafis & Branding,Desain Brosur/Flyer,ok*********es,"October 5, 2023, 9:55 AM","October 10, 2023, 9:25 AM",,"January 2, 1900, 12:00 AM",0
Riset jumlah pencarian obat herbal,public,,,fa********id,"September 20, 2023, 11:29 AM","October 10, 2023, 10:23 AM",success,"October 10, 2023, 10:27 AM","261,186"
(Package - BASIC) Desain Banner untuk Spanduk/Roll Banner/Billboard (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Banner/Billboard,dy******62,"October 10, 2023, 10:37 AM","October 10, 2023, 10:40 AM",success,"October 10, 2023, 11:28 AM","211,356"
Desain Brosur Trifold Caleg,contest,Desain Grafis & Branding,Desain Brosur/Flyer,me*********ro,"July 26, 2018, 2:22 PM","October 10, 2023, 11:30 AM",success,"October 10, 2023, 11:32 AM","3,243,561"
Kontes Desain Logo untuk Personal Branding,contest,Desain Grafis & Branding,Desain Logo,je*****oe,"July 8, 2019, 11:26 PM","October 10, 2023, 2:27 PM",success,"October 10, 2023, 2:28 PM","2,577,387"
Domain dan Hosting Bril.co.id,private,,,sa******21,"October 3, 2023, 3:54 PM","October 10, 2023, 3:23 PM",success,"October 10, 2023, 3:52 PM","1,681,296"
Ebook editor,public,,,ce******06,"September 17, 2023, 1:43 PM","October 10, 2023, 3:26 PM",success,"October 11, 2023, 9:44 AM","313,436"
(Package - PREMIUM) Desain Interior Rumah/Kantor/Toko/Cafe untuk 1-3 Ruangan,package,Desain Grafis & Branding,Desain Interior,do******20,"October 10, 2023, 3:51 PM","October 10, 2023, 4:36 PM",success,"October 11, 2023, 5:57 PM","7,387,349"
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,"October 4, 2023, 5:13 PM","October 10, 2023, 4:55 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Setup dan Mengelola Iklan Berbayar di Google Ads per Bulan,package,Pemasaran & Periklanan,Search Engine Marketing (SEM),ak********za,"July 16, 2018, 1:01 PM","October 10, 2023, 5:02 PM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Logo Merk Otto / Otto Straps - Produk Untuk Tali Jam / Jam Tangan,contest,Desain Grafis & Branding,Desain Logo,St******09,"September 19, 2023, 1:52 PM","October 10, 2023, 8:09 PM",success,"October 10, 2023, 8:14 PM","2,680,767"
Test Product KJS laKSjLKJ,contest,Desain Grafis & Branding,Desain Logo,ri******75,"August 2, 2023, 11:06 AM","October 11, 2023, 9:50 AM",,"January 2, 1900, 12:00 AM",0
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,"October 4, 2023, 5:13 PM","October 11, 2023, 10:27 AM",,"January 2, 1900, 12:00 AM",0
Design branding mobil,public,,,do********al,"March 30, 2022, 1:24 PM","October 11, 2023, 10:28 AM",success,"October 11, 2023, 10:30 AM","366,385"
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,"October 4, 2023, 5:13 PM","October 11, 2023, 10:32 AM",,"January 2, 1900, 12:00 AM",0
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,"October 4, 2023, 5:13 PM","October 11, 2023, 10:34 AM",success,"October 11, 2023, 10:38 AM","1,419,860"
Jasa Desain Logo Profesional,gigs,Desain Grafis & Branding,Desain Logo,am******30,"October 11, 2023, 10:36 AM","October 11, 2023, 10:38 AM",,"January 2, 1900, 12:00 AM",0
Desain Peeking Box,private,,,nu******45,"October 3, 2023, 2:59 PM","October 11, 2023, 10:39 AM",success,"October 11, 2023, 11:17 AM","886,593"
Design insert card utk packaging mika,private,,,Sh*****58,"April 9, 2017, 7:48 AM","October 11, 2023, 10:50 AM",success,"October 11, 2023, 10:50 AM","313,402"
(Package - BASIC) Desain Brosur/Flyer (1 Halaman/Lipat 2/Lipat 3),package,Desain Grafis & Branding,Desain Brosur/Flyer,ru******63,"October 11, 2023, 10:59 AM","October 11, 2023, 11:04 AM",success,"October 11, 2023, 4:42 PM","264,391"
