nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
Jasa Subscriber Youtube PERMANET,gigs,Pemasaran & Periklanan,Subscribers YouTube,ti****bu,2024-07-13 11:46:00,2024-07-13 11:54:00,,2024-07-13 11:54:00,100156
Desain Logo Profesional UntukMerek Produk dan Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo,ya*****st,2024-07-13 10:20:00,2024-07-13 12:07:00,,2024-07-13 12:07:00,758250
Custom Web,gigs_custom_offer,,,ra*******nt,2024-07-13 11:24:00,2024-07-13 12:33:00,,2024-07-13 14:07:00,1213200
"Paket Copywriting Feed Instagram (Carousel, Story, Reels) + Content Plan Monthy Calender",gigs,Penulisan & Penerjemahan,Copywriting,Jo********04,2024-07-13 12:33:00,2024-07-13 12:39:00,,2024-07-13 12:39:00,101164
Desain Logo Profesional dan Modern 1 Hari Jadi,gigs,Desain Grafis & Branding,Desain Logo,da****ht,2024-07-13 11:56:00,2024-07-13 12:39:00,,2024-07-13 12:40:00,151650
[ 1 HARI JADI ] Profesional Desain Logo,gigs,Desain Grafis & Branding,Desain Logo,da****ht,2024-07-13 11:56:00,2024-07-13 12:46:00,,2024-07-13 12:48:00,505519
Branding dan Visual identity,gigs,Desain Grafis & Branding,Brand Guidelines,Ra*********95,2024-07-13 12:43:00,2024-07-13 12:48:00,,2024-07-13 12:49:00,454950
Desain logo`,contest,Desain Grafis & Branding,Desain Logo,Ra*********95,2024-07-13 12:43:00,2024-07-13 12:50:00,,2024-07-13 12:50:00,4265200
Review Google Maps (30-100 Review),package,Pemasaran & Periklanan,Review Google Maps,ro******od,2024-06-04 15:32:00,2024-07-13 12:54:00,,2024-07-13 12:54:00,357776
Desain Interior Rumah/Kantor/Toko/Cafe untuk 1-3 Ruangan,gigs,Desain Grafis & Branding,Desain Interior,iq******hp,2024-07-13 09:59:00,2024-07-13 12:55:00,,2024-07-13 12:55:00,1516581
Paket Penulisan Artikel/Konten di Web atau Blog 750-2000 Kata (Indonesia),gigs,Pemasaran & Periklanan,SEO (Search Engine Optimization),he********ni,2024-07-13 12:25:00,2024-07-13 13:07:00,,2024-07-13 13:07:00,100093
Paket Penulisan Artikel/Konten di Web atau Blog 750-2000 Kata (Indonesia),gigs,Pemasaran & Periklanan,SEO (Search Engine Optimization),he********ni,2024-07-13 12:25:00,2024-07-13 13:08:00,,2024-07-13 13:08:00,100182
Test INTERNAL konsultan ISO (edit),gigs,Konsultasi,Konsultan ISO,iq******hp,2024-07-13 09:59:00,2024-07-13 13:40:00,,2024-07-13 13:40:00,10191
Jasa Pengelolaan Google Business,gigs,Pemasaran & Periklanan,Optimasi Google Bisnisku,Jo********04,2024-07-13 12:33:00,2024-07-13 13:46:00,,2024-07-13 13:46:00,151660
[ 1 HARI JADI ] Profesional Desain Kemasan,gigs,Desain Grafis & Branding,Desain Kemasan,ot******27,2024-07-13 13:43:00,2024-07-13 14:11:00,,2024-07-15 13:53:00,252780
"Design Slide Pitchdeck & Persentasi 5-20 Slide, pengerjaan (24 Jam)",gigs,Desain Grafis & Branding,Desain Presentasi,da****ht,2024-07-13 11:56:00,2024-07-13 15:18:00,,2024-07-13 15:19:00,808800
Test Add Kontes,contest,Desain Grafis & Branding,Desain Logo,ik********nt,2024-07-13 07:20:00,2024-07-13 15:21:00,,2024-07-13 15:21:00,3331787
Desain Logo Cafe & Resto Elegan,gigs,Desain Grafis & Branding,Desain Logo,nu******59,2024-01-09 11:06:00,2024-07-13 16:12:00,,2024-07-13 16:12:00,1516539
Desain Menu Restoran/Cafe (1-12 Halaman),package,Desain Grafis & Branding,Desain Menu,nu******59,2024-01-09 11:06:00,2024-07-13 16:15:00,,2024-07-13 16:15:00,1379781
Desain Logo 1 Hari Selesai,gigs,Desain Grafis & Branding,Desain Logo,ti****bu,2024-07-13 11:46:00,2024-07-13 16:21:00,,2024-07-13 16:21:00,151682
Kontes Desain Logo FnB,contest,Desain Grafis & Branding,Desain Logo,nu******59,2024-01-09 11:06:00,2024-07-13 16:26:00,,2024-07-13 16:26:00,4265259
Content Creator / Membuat Konten Reels/Tiktok/Short & Feed,gigs,"Video, Fotografi & Audio",Video Social Media,Go**********nt,2024-07-13 16:24:00,2024-07-13 16:33:00,,2024-07-13 16:34:00,504489
JASA LOGO MASKOT,gigs,Desain Grafis & Branding,Desain Logo,bi***********yo,2024-07-13 16:21:00,2024-07-13 16:33:00,,2024-07-13 16:33:00,556098
[ 1 HARI JADI ] Profesional Desain Kemasan,gigs,Desain Grafis & Branding,Desain Kemasan,ri********ra,2024-07-13 16:16:00,2024-07-13 16:35:00,,2024-07-13 16:37:00,758250
"Desain Maskot/Karakter untuk Brand, Game, Acara (1-2 Pilihan Desain)",package,Desain Grafis & Branding,Desain Maskot/Karakter,bi***********yo,2024-07-13 16:21:00,2024-07-13 16:37:00,,2024-07-13 16:37:00,1022028
kontes desain logo kartu nama untuk perusahaan,contest,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,ri********ra,2024-07-13 16:16:00,2024-07-13 16:43:00,,2024-07-13 16:43:00,1599450
TES INTERNAL Kontes Maskot Karakter Obat Kuat Pria,contest,Desain Grafis & Branding,Desain Maskot/Karakter,Go**********nt,2024-07-13 16:24:00,2024-07-13 16:44:00,,2024-07-13 16:45:00,7464100
Kontes Desain Logo Perusahaan Ku,contest,Desain Grafis & Branding,Desain Logo,bi***********yo,2024-07-13 16:21:00,2024-07-13 16:48:00,,2024-07-13 16:48:00,4265231
[Test] Jasa Konsultasi ISO,gigs,Konsultasi,Konsultan ISO,va*******08,2024-07-13 16:51:00,2024-07-13 16:55:00,,2024-07-13 16:56:00,11627
[Test] Jasa Konsultasi ISO,gigs,Konsultasi,Konsultan ISO,ir****66,2024-07-13 15:21:00,2024-07-13 16:59:00,,2024-07-13 16:59:00,11657
[Test] Jasa Konsultasi ISO,gigs,Konsultasi,Konsultan ISO,ir****66,2024-07-13 15:21:00,2024-07-13 17:00:00,,2024-07-13 20:23:00,11628
[Test] Jasa Konsultasi ISO,gigs,Konsultasi,Konsultan ISO,Ni*******45,2024-07-13 17:02:00,2024-07-13 17:04:00,,2024-07-13 17:04:00,11628
[Test] Jasa Konsultasi ISO,gigs,Konsultasi,Konsultan ISO,fa********u2,2024-07-13 17:41:00,2024-07-13 17:48:00,,2024-07-13 17:48:00,11628
Test Judul Kontes Pembuatan website company profile,contest,Desain Grafis & Branding,Desain Company Profile,fa********u2,2024-07-13 17:41:00,2024-07-13 17:56:00,,2024-07-13 17:57:00,10373700
[TEST INTERNAL] Kontes Sribu,contest,Web & Pemrograman,Internal Sribu,ro******od,2024-06-04 15:32:00,2024-07-13 18:40:00,,2024-07-13 18:40:00,53397
[TEST INTERNAL] Kontes Sribu,contest,Web & Pemrograman,Internal Sribu,ro******od,2024-06-04 15:32:00,2024-07-13 18:43:00,,2024-07-13 18:43:00,53397
Test INTERNAL konsultan ISO (edit),gigs,Konsultasi,Konsultan ISO,ro******od,2024-06-04 15:32:00,2024-07-13 19:35:00,,2024-07-13 19:35:00,10158
Test INTERNAL konsultan ISO (edit),gigs,Konsultasi,Konsultan ISO,ro******od,2024-06-04 15:32:00,2024-07-13 19:39:00,,2024-07-19 09:58:00,10161
Pembuatan Akun Instagram untuk Bisnis (9-12 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,ro******od,2024-06-04 15:32:00,2024-07-14 11:48:00,,2024-07-14 11:48:00,511083
Pembuatan Akun Instagram untuk Bisnis (9-12 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,te******26,2024-01-08 15:53:00,2024-07-14 11:48:00,,2024-07-14 11:48:00,511038
Pembuatan Akun Instagram untuk Bisnis (9-12 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,ro******od,2024-06-04 15:32:00,2024-07-14 11:48:00,,2024-07-19 09:57:00,511059
kjbshdvbkasjhbjdh,contest,Desain Grafis & Branding,Desain Brosur/Flyer,ya*****st,2024-07-13 10:20:00,2024-07-14 12:48:00,,2024-07-14 12:48:00,1599539
Desain Interior Rumah/Kantor/Toko/Cafe untuk 1-3 Ruangan,gigs,Desain Grafis & Branding,Desain Interior,ro******od,2024-06-04 15:32:00,2024-07-14 16:09:00,,2024-07-17 17:32:00,1516516
desain logo test internal,contest,Desain Grafis & Branding,Desain Logo,fu*************nt,2024-07-14 12:59:00,2024-07-14 17:07:00,,2024-11-18 13:40:00,2665828
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Tambah Follower Media Sosial,Ex****ii,2024-07-11 22:25:00,2024-07-14 22:16:00,,2024-07-14 22:27:00,100089
"IT Support (Setting Mikrotik, Koneksi Internet, Pembuatan Database)",gigs,Web & Pemrograman,IT Support,Di****ry,2024-07-15 09:39:00,2024-07-15 09:43:00,,2024-07-15 09:43:00,100089
Jasa Subscriber Youtube PERMANET,gigs,Pemasaran & Periklanan,Subscribers YouTube,He******23,2024-07-15 10:29:00,2024-07-15 10:33:00,,2024-07-15 10:33:00,100187
test internal,contest,Desain Grafis & Branding,Desain Logo,fu*************nt,2024-07-14 12:59:00,2024-07-15 11:04:00,,2024-11-18 13:40:00,2665795
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,il*******as,2024-06-19 12:13:00,2024-07-15 15:21:00,,2024-07-15 15:21:00,100089
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,il*******as,2024-06-19 12:13:00,2024-07-15 15:24:00,,2024-07-15 15:25:00,100089
Pembuatan Editorial Plan Social Media,gigs,Pemasaran & Periklanan,Social Media Marketing,th*****ts,2020-09-08 17:25:00,2024-07-15 16:46:00,,2024-07-15 16:51:00,1011098
Image Editor | Image Editing,gigs,Desain Grafis & Branding,Edit Gambar & Photoshop,th*****ts,2020-09-08 17:25:00,2024-07-15 16:49:00,,2024-07-15 16:51:00,101156
Desain Logo Professional,gigs,Desain Grafis & Branding,Desain Logo,th*****ts,2020-09-08 17:25:00,2024-07-15 16:50:00,,2024-07-15 16:51:00,171886
Desain PowerPoint Eye-Catching dan Affordable,gigs,Desain Grafis & Branding,Desain Presentasi,th*****ts,2020-09-08 17:25:00,2024-07-15 16:52:00,,2024-07-15 16:52:00,101146
Jasa Desain Logo,gigs,Desain Grafis & Branding,Desain Logo,Ar*******12,2024-05-20 00:19:00,2024-07-15 19:50:00,,2024-08-15 19:24:00,2022000
Pembuatan Video Profil Perusahaan / Video Company Profile (3-10 Menit),gigs,"Video, Fotografi & Audio",Video Shooting,sy********ka,2024-07-16 07:08:00,2024-07-16 07:11:00,,2024-07-16 07:11:00,8088081
"Jasa Review Marketplace (Shoppe,Lazada,Tokopedia,Bukalapak dll), Aplikasi Play Store, Google Bisnis",gigs,Pemasaran & Periklanan,Review Produk Marketplace,Jo********04,2024-07-13 12:33:00,2024-07-16 10:05:00,,2024-07-16 10:05:00,151650
Optimasi Desain Presentasi untuk Korporasi dan UMKM,gigs,Desain Grafis & Branding,Desain Presentasi,ya*****st,2024-07-13 10:20:00,2024-07-16 11:14:00,,2024-07-16 11:14:00,505500
Optimasi Desain Presentasi untuk Korporasi dan UMKM,gigs,Desain Grafis & Branding,Desain Presentasi,Ni*******45,2024-07-13 17:02:00,2024-07-16 11:25:00,,2024-07-16 11:25:00,859350
"Pembuatan Akun TikTok untuk Bisnis (3 Konten Video, Upload 5-15 Produk)",package,Pemasaran & Periklanan,Pembuatan Akun TikTok,fu*************nt,2024-07-14 12:59:00,2024-07-16 11:52:00,,2024-11-18 13:39:00,1533063
Kontes Desain Logo dan Kemasan Kopi 250gr,contest,Desain Grafis & Branding,Desain Kemasan,kn**************ng,2024-07-16 11:13:00,2024-07-16 11:53:00,,2024-07-16 11:53:00,4065079
Test jasa custom offer,gigs_custom_offer,,,ro******od,2024-06-04 15:32:00,2024-07-16 11:53:00,,2024-07-16 14:23:00,101104
Desain Logo Premium dan Modern,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ro******od,2024-06-04 15:32:00,2024-07-16 13:17:00,,2024-07-16 14:23:00,100181
Kontes Desain Logo dan Kemasan Kopi 250gr,contest,Desain Grafis & Branding,Desain Kemasan,kn**************ng,2024-07-16 11:13:00,2024-07-16 13:35:00,,2024-07-16 13:35:00,4065077
Design Presentasi Slide PPT Kreatif Menarik 24 Jam Selesai!,gigs,Desain Grafis & Branding,Desain Presentasi,me********01,2024-07-13 09:59:00,2024-07-16 14:27:00,,2024-07-16 14:27:00,100132
Jasa Press Release Murah dan Publikasi Media Nasional,gigs,Pemasaran & Periklanan,Content Placement,ds******dd,2024-07-16 14:39:00,2024-07-16 14:42:00,,2024-07-16 14:42:00,197210
100.000 followers Tiktok,gigs_custom_offer,,,AP*********ER,2024-07-16 19:16:00,2024-07-16 21:53:00,,2024-07-16 21:53:00,7066981
Pembuatan Website Profesional berbasis Joomla,gigs,Web & Pemrograman,Pembuatan Website,AN********64,2024-07-16 23:19:00,2024-07-16 23:35:00,,2024-07-16 23:35:00,303316
Jasa Verified atau Centang Biru Instagram (Subscription),gigs,Pemasaran & Periklanan,Verified Instagram,ch*******rz,2024-07-17 00:23:00,2024-07-17 00:28:00,,2024-07-17 00:29:00,151654
Virtual Assistant | Personal & Office Administrative,gigs,Konsultasi,Virtual Assistant,ar****89,2024-06-16 10:45:00,2024-07-17 12:43:00,,2024-07-17 12:43:00,505502
Virtual Assistant | Personal & Office Administrative,gigs,Konsultasi,Virtual Assistant,ar****89,2024-06-16 10:45:00,2024-07-17 12:43:00,,2024-07-17 12:43:00,505525
Guest Post DR50+ DA40-60 (GARANSI INDEX & 100% doFollow),gigs,Pemasaran & Periklanan,Backlink PBN,da****21,2024-07-17 14:31:00,2024-07-17 16:35:00,,2024-07-17 16:39:00,657191
Tambah Viewers Live Shopee,gigs,Pemasaran & Periklanan,Pemasaran Online Lainnya,At****99,2024-07-18 14:21:00,2024-07-18 14:28:00,,2024-07-18 14:28:00,176934
Review Google Maps (30-100 Review),package,Pemasaran & Periklanan,Review Google Maps,jo******77,2024-07-18 14:41:00,2024-07-18 16:01:00,,2024-07-18 16:05:00,613202
Jasa Tambah Followers TikTok Permanen,gigs,Pemasaran & Periklanan,Followers TikTok,La**********ak,2024-06-30 19:58:00,2024-07-18 18:40:00,,2024-07-18 18:41:00,100089
asdasdasdasdasdasd,contest,Desain Grafis & Branding,Desain Brosur/Flyer,th*****ts,2020-09-08 17:25:00,2024-07-18 19:16:00,,2024-07-18 19:16:00,2665756
Jasa Pembuatan / Modifikasi Plugin WordPress dan WooCommerce,gigs,Web & Pemrograman,Pembuatan Website,ad*****mo,2024-07-11 22:39:00,2024-07-18 19:54:00,,2024-07-18 19:54:00,808836
Jasa Booster Tambah Penonton Live Streaming Tiktok,gigs,Pemasaran & Periklanan,TikTok Live Marketing,si********ng,2024-05-30 15:27:00,2024-07-19 01:55:00,,2024-07-19 01:55:00,101184
Tentukan paket mana yang sesuai dengan kebutuhan Anda,contest,Desain Grafis & Branding,Desain Logo,ik********nt,2024-07-13 07:20:00,2024-07-19 09:35:00,,2024-07-19 09:35:00,2665759
Jasa Subscriber Youtube Permanen,gigs,Pemasaran & Periklanan,Subscribers YouTube,Ud******oy,2024-07-19 09:28:00,2024-07-19 09:36:00,,2024-07-19 09:36:00,100183
TEST ORDER INDAH,contest,Desain Grafis & Branding,Desain Logo,si*by,2016-05-03 11:16:00,2024-07-19 09:57:00,,2024-07-19 09:57:00,2776774
Pembuatan Akun Instagram untuk Bisnis (9-12 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,ro******od,2024-06-04 15:32:00,2024-07-19 10:20:00,,2024-07-19 10:20:00,526004
Test aja Internal,contest,Desain Grafis & Branding,Desain Logo,ro******od,2024-06-04 15:32:00,2024-07-19 10:57:00,,2024-07-19 10:57:00,2665817
Desain PowerPoint Eye-Catching dan Affordable,gigs,Desain Grafis & Branding,Desain Presentasi,ro******od,2024-06-04 15:32:00,2024-07-19 10:58:00,,2024-07-19 10:58:00,101163
Desain Kemasan / Packaging / Label Berstandar BPOM (FREE KONSULTASI),gigs,Desain Grafis & Branding,Desain Kemasan,av********21,2024-04-30 16:53:00,2024-07-19 11:22:00,,2024-07-19 11:22:00,252803
Kontes Desain Logo dan Stationery untuk CHIANGMA PROPERTY,contest,Desain Grafis & Branding,Desain Logo & Stationery,ch******id,2024-06-23 17:09:00,2024-07-19 11:36:00,,2024-07-19 11:37:00,10373742
Jasa Backlink for Articles,gigs,Pemasaran & Periklanan,SEO (Search Engine Optimization),da****21,2024-07-17 14:31:00,2024-07-19 12:16:00,,2024-07-19 12:26:00,676359
Review Google Maps (30-100 Review),package,Pemasaran & Periklanan,Review Google Maps,ro******od,2024-06-04 15:32:00,2024-07-19 13:12:00,,2024-07-19 13:12:00,369431
Desain PowerPoint Eye-Catching dan Affordable,gigs,Desain Grafis & Branding,Desain Presentasi,Ni****an,2024-03-20 13:40:00,2024-07-19 16:11:00,,2024-08-19 12:54:00,101121
Jasa Pengelolaan Google Business,gigs,Pemasaran & Periklanan,Optimasi Google Bisnisku,ch*****10,2024-07-19 13:45:00,2024-07-19 16:35:00,,2024-07-22 09:56:00,151650
Jasa Review Produk Marketplace,gigs,Pemasaran & Periklanan,Review Produk Marketplace,bu***********17,2024-07-19 16:34:00,2024-07-19 16:42:00,,2024-07-19 16:43:00,100089
Jasa Desain Logo Mascot menarik dan Eye cathing,gigs,Desain Grafis & Branding,Desain Logo,al********ka,2021-12-06 19:27:00,2024-07-19 17:20:00,,2024-07-19 18:58:00,404400
Jasa Publikasi Ilmiah,gigs,Penulisan & Penerjemahan,Publikasi Jurnal,No********tt,2024-07-19 20:30:00,2024-07-19 20:38:00,,2024-07-19 20:38:00,202241
Jasa Isi Kuesioner,gigs,Penulisan & Penerjemahan,"Penulisan, Penerjemahan, Entri Data Lainnya",Fe*******02,2024-07-19 20:45:00,2024-07-19 20:56:00,,2024-07-19 20:56:00,278052
Jasa Isi Kuesioner,gigs,Penulisan & Penerjemahan,"Penulisan, Penerjemahan, Entri Data Lainnya",Fe*******02,2024-07-19 20:45:00,2024-07-19 20:56:00,,2024-07-19 20:56:00,278115
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,Ja*******un,2024-07-20 18:42:00,2024-07-20 18:52:00,,2024-07-20 19:04:00,100089
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,yu****ah,2024-07-20 20:10:00,2024-07-20 20:15:00,,2024-07-20 20:15:00,403389
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,ez*****ro,2024-07-20 21:50:00,2024-07-20 21:52:00,,2024-07-20 21:53:00,403389
Rate dan review google maps,gigs,Pemasaran & Periklanan,Review Google Maps,Pi***************ja,2024-07-20 23:23:00,2024-07-20 23:51:00,,2024-07-20 23:51:00,100152
Jasa Hapus Akun Facebook Lama Lupa Email dan Password atau Dihack,gigs,Pemasaran & Periklanan,Hapus Akun Facebook,Zh****23,2024-07-21 01:41:00,2024-07-21 01:45:00,,2024-07-21 01:45:00,101147
Tambah Followers Instagram,gigs,Pemasaran & Periklanan,Followers Instagram,gu*******da,2024-07-21 19:51:00,2024-07-21 20:01:00,,2024-07-21 20:01:00,100142
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,Ce****ss,2024-07-21 20:37:00,2024-07-21 20:40:00,,2024-07-21 20:40:00,100095
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,Vi****57,2024-07-22 04:59:00,2024-07-22 05:10:00,,2024-07-22 05:10:00,100106
“Inspiring Innovation: Design the Future” - Logo Design Contest,contest,Desain Grafis & Branding,Desain Logo,de********31,2018-08-15 08:59:00,2024-07-22 08:19:00,,2024-07-22 09:14:00,8241100
Jasa Proofread Naskah (Maks. 2 Lembar),gigs_custom_offer,,,pu*******78,2024-07-13 12:19:00,2024-07-22 09:58:00,,2024-07-22 09:58:00,101189
"Design Slide Pitchdeck & Persentasi 5-20 Slide, pengerjaan (24 Jam)",gigs,Desain Grafis & Branding,Desain Presentasi,th*****ts,2020-09-08 17:25:00,2024-07-22 13:45:00,,2024-07-24 16:17:00,808831
Tambah Viewers Live Shopee,gigs,Pemasaran & Periklanan,Pemasaran Online Lainnya,Ik*****88,2024-07-22 13:54:00,2024-07-22 14:01:00,,2024-07-22 14:01:00,176968
Jasa Desain Logo,gigs,Desain Grafis & Branding,Desain Logo,de********31,2018-08-15 08:59:00,2024-07-22 14:41:00,,2024-07-22 14:41:00,2022080
Flavors of the Future: Logo Design Contest,contest,Desain Grafis & Branding,Desain Banner/Billboard,de********31,2018-08-15 08:59:00,2024-07-22 15:32:00,,2024-07-22 15:32:00,5331540
JavaScript Code Garbage Collection Specialist,gigs,Web & Pemrograman,Pembuatan Website,de********31,2018-08-15 08:59:00,2024-07-22 15:56:00,,2024-07-22 15:58:00,4044049
Jasa Views Tiktok Permanen,gigs,Pemasaran & Periklanan,Like TikTok,Ay*****uf,2024-07-22 18:42:00,2024-07-22 18:47:00,,2024-07-22 18:47:00,100106
Jasa Tambah Followers TikTok,gigs,Pemasaran & Periklanan,Followers TikTok,Ay*****uf,2024-07-22 18:42:00,2024-07-22 18:49:00,,2024-07-22 18:49:00,100180
Kontes Sabun Pepaya,contest,Desain Grafis & Branding,Desain Kemasan,,2020-10-02 11:39:00,2024-07-22 22:34:00,,2024-07-22 22:34:00,5997539
Kontes Desain Kemasan Sabun Pepaya,contest,Desain Grafis & Branding,Desain Kemasan,,2020-10-02 11:39:00,2024-07-22 22:37:00,,2024-07-22 22:38:00,5997586
Jasa Tambah Followers TikTok Permanen,gigs,Pemasaran & Periklanan,Followers TikTok,Sa******il,2024-07-23 00:31:00,2024-07-23 00:54:00,,2024-07-23 00:54:00,100091
Pembuatan Akun Instagram untuk Bisnis (9-12 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,ro******od,2024-06-04 15:32:00,2024-07-23 09:16:00,,2024-07-23 09:16:00,527742
Tambah Followers Instagram,gigs,Pemasaran & Periklanan,Followers Instagram,Ko*******at,2024-07-17 23:57:00,2024-07-23 09:34:00,,2024-07-23 09:34:00,100126
Desain Presentasi Profesional dengan Sentuhan Kreatif,gigs,Desain Grafis & Branding,Desain Presentasi,Ni****an,2024-03-20 13:40:00,2024-07-23 14:13:00,,2024-08-19 12:53:00,151679
"Design Slide Pitchdeck & Persentasi 5-20 Slide, pengerjaan (24 Jam)",gigs,Desain Grafis & Branding,Desain Presentasi,Ni****an,2024-03-20 13:40:00,2024-07-23 14:17:00,,2024-08-19 12:53:00,808890
"Design Slide Pitchdeck & Persentasi 5-20 Slide, pengerjaan (24 Jam)",gigs,Desain Grafis & Branding,Desain Presentasi,Ni****an,2024-03-20 13:40:00,2024-07-23 14:26:00,,2024-08-19 12:53:00,808863
"Design Slide Pitchdeck & Persentasi 5-20 Slide, pengerjaan (24 Jam)",gigs,Desain Grafis & Branding,Desain Presentasi,Ni****an,2024-03-20 13:40:00,2024-07-23 14:43:00,,2024-07-23 14:48:00,808848
Test Kontes Banner,contest,Desain Grafis & Branding,Desain Banner/Billboard,ro******od,2024-06-04 15:32:00,2024-07-23 15:13:00,,2024-07-23 15:13:00,1599529
Jasa Tambah Followers TikTok Permanen,gigs,Pemasaran & Periklanan,Followers TikTok,Su*******95,2024-07-23 15:19:00,2024-07-23 15:28:00,,2024-07-23 15:28:00,100136
Jasa Tambah Followers TikTok Permanen,gigs,Pemasaran & Periklanan,Followers TikTok,Su*******95,2024-07-23 15:19:00,2024-07-23 15:29:00,,2024-07-23 15:29:00,100154
ketik cepat dan akurat,gigs,Penulisan & Penerjemahan,Jasa Pengetikan,me*****23,2024-07-23 16:10:00,2024-07-23 16:18:00,,2024-07-23 16:21:00,100089
Test banner lagi,contest,Desain Grafis & Branding,Desain Banner/Billboard,ro******od,2024-06-04 15:32:00,2024-07-23 16:22:00,,2024-07-23 16:22:00,1599464
Test diskon,contest,Desain Grafis & Branding,Desain Kemasan,ro******od,2024-06-04 15:32:00,2024-07-23 16:28:00,,2024-07-23 16:28:00,3732091
Test diskon,contest,Desain Grafis & Branding,Desain Kemasan,ro******od,2024-06-04 15:32:00,2024-07-23 16:30:00,,2024-07-23 16:30:00,5553590
Test contest brief,contest,Desain Grafis & Branding,Desain Brosur/Flyer,ro******od,2024-06-04 15:32:00,2024-07-24 14:00:00,,2024-07-24 14:00:00,1599487
Desain Logo (3 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,fu*************nt,2024-07-14 12:59:00,2024-07-24 14:04:00,,2024-11-18 13:39:00,1055303
Tambah Followers Instagram Real dan Bergaransi,gigs,Pemasaran & Periklanan,Followers Instagram,Si*********ng,2024-07-24 14:06:00,2024-07-24 14:15:00,,2024-07-24 14:15:00,101178
Transkrip Audio to Teks Murah dan Berkualitas,gigs,Penulisan & Penerjemahan,Transkrip Audio,da******di,2024-07-24 13:25:00,2024-07-24 14:59:00,,2024-07-24 14:59:00,100158
Web Design & Development,gigs,Web & Pemrograman,Pembuatan Website,Jo******12,2024-07-12 14:23:00,2024-07-24 15:50:00,,2024-07-24 15:50:00,1516514
Jasa Landing Page,gigs_custom_offer,,,ma********rb,2024-07-23 16:49:00,2024-07-24 17:11:00,,2024-07-24 17:11:00,505550
