nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
Kontes Desain Logo untuk Mahesa Nusantara Artha,contest,Desain Grafis & Branding,Desain Logo,Ma****************ha,2023-09-18 01:14:00,2023-10-04 02:20:00,,2023-10-04 02:20:00,0
Jasa pembuatan Design kemasan & label produk parfume,private,,,in******80,2023-10-04 10:42:00,2023-10-04 11:53:00,,1900-01-03 00:00:00,0
Desain Booth Pameran,private,,,fk*******ar,2017-12-21 16:53:00,2023-10-04 11:56:00,,1900-01-03 00:00:00,0
(Package - BASIC) Penulisan Buku & E-Book 50-150 Halaman,package,Penulisan & Penerjemahan,Buku & Penulisan E-Book,ra******02,2023-10-04 14:01:00,2023-10-04 14:27:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,ra******02,2023-10-04 14:01:00,2023-10-04 14:40:00,,1900-01-03 00:00:00,0
(Package - BASIC) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),ra******02,2023-10-04 14:01:00,2023-10-04 14:48:00,,1900-01-03 00:00:00,0
kontess desain logo untung bengkel las,contest,Desain Grafis & Branding,Desain Logo,ha******97,2023-10-04 19:53:00,2023-10-04 19:59:00,,1900-01-03 00:00:00,0
(Package - PLUS) Desain 3D Perspektif Fasad Bangunan/Eksterior (Luas 100-300 m2),package,Desain Grafis & Branding,3D & Perspektif,de******88,2019-09-19 21:23:00,2023-10-05 09:47:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pembuatan Website Toko Online (Gratis Upload 10-500 Produk),package,Web & Pemrograman,Pembuatan Toko Online,ok*********es,2023-10-05 09:55:00,2023-10-05 09:55:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),ok*********es,2023-10-05 09:55:00,2023-10-05 09:56:00,,1900-01-03 00:00:00,0
logo tufitn,contest,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,de******85,2023-10-05 10:39:00,2023-10-05 10:40:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,ok*********es,2023-10-05 09:55:00,2023-10-05 14:22:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pembuatan Website Profil Perusahaan (5-14 halaman),package,Web & Pemrograman,Website Profil Perusahaan,sa******21,2023-10-03 15:54:00,2023-10-05 14:32:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Label untuk Box/Pouch/Sachet/Botol (1-4 Varian),package,Desain Grafis & Branding,Desain Label,ad******82,2023-10-05 20:04:00,2023-10-05 20:05:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,sa******66,2023-10-05 22:00:00,2023-10-05 22:03:00,,1900-01-03 00:00:00,0
(Package - BASIC) Input Data di Excel/Spreadsheet (100-1000 Baris),package,Penulisan & Penerjemahan,Input Data di Excel,TO*******19,2023-10-05 23:18:00,2023-10-05 23:23:00,,1900-01-03 00:00:00,0
Test mela,contest,Desain Grafis & Branding,Desain Kemasan,si*by,2016-05-03 11:16:00,2023-10-06 12:15:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Pembuatan 2-4 Video Iklan Produk/Jasa/Brand di IG/Youtube/TikTok (30-60 Detik),package,"Video, Fotografi & Audio",Video Shooting,uz******09,2023-09-18 15:41:00,2023-10-06 13:57:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,al******81,2023-10-06 14:17:00,2023-10-06 14:18:00,,1900-01-03 00:00:00,0
Desain logo untuk perusahaan,contest,Desain Grafis & Branding,Desain Logo & Stationery,ra******36,2023-10-06 14:55:00,2023-10-06 15:09:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Label untuk Box/Pouch/Sachet/Botol (1-4 Varian),package,Desain Grafis & Branding,Desain Label,an******44,2023-10-06 13:06:00,2023-10-06 19:11:00,,1900-01-03 00:00:00,0
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Indonesia),package,Penulisan & Penerjemahan,Artikel & Blog Pos,fa******88,2023-10-07 12:26:00,2023-10-07 12:44:00,,1900-01-03 00:00:00,0
Tim games,contest,Desain Grafis & Branding,Desain Logo,da******56,2023-10-08 10:57:00,2023-10-08 11:09:00,,1900-01-03 00:00:00,0
Logo Kebersihan,contest,Desain Grafis & Branding,Desain Logo,dm******85,2023-10-08 15:41:00,2023-10-08 15:46:00,,1900-01-03 00:00:00,0
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,ah******65,2023-10-05 08:59:00,2023-10-08 19:28:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Kalender (5-13 Halaman),package,Desain Grafis & Branding,Desain Kalender,su********10,2013-05-10 12:09:00,2023-10-08 20:00:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,wa******25,2023-10-08 23:06:00,2023-10-08 23:08:00,,1900-01-03 00:00:00,0
(Package - BASIC) Edit 15-60 Detik Video (Minimum Order 1 Video),package,"Video, Fotografi & Audio",Edit Video,zi******99,2023-10-09 07:15:00,2023-10-09 07:24:00,,1900-01-03 00:00:00,0
Pembuatan Desain Gambar Kerja Rumah,private,,,al******37,2023-09-27 09:45:00,2023-10-09 13:20:00,,1900-01-03 00:00:00,0
(Package - BASIC) Fotografi Makanan & Minuman (7-45 Foto),package,"Video, Fotografi & Audio",Fotografi Makanan & Minuman,yo******12,2023-10-09 13:21:00,2023-10-09 13:28:00,,1900-01-03 00:00:00,0
(Package - BASIC) Fotografi Makanan & Minuman (7-45 Foto),package,"Video, Fotografi & Audio",Fotografi Makanan & Minuman,yo******12,2023-10-09 13:21:00,2023-10-09 13:34:00,,1900-01-03 00:00:00,0
ssdsd spdosad psodj pojsd,contest,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-09 14:34:00,,1900-01-03 00:00:00,0
Desain font,contest,Desain Grafis & Branding,Desain Logo,la******92,2023-10-09 14:21:00,2023-10-09 14:47:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain 12 Konten IG & FB,package,Desain Grafis & Branding,Desain Feed Instagram,mz****ri,2017-05-13 13:42:00,2023-10-09 16:54:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain 12 Konten IG & FB,package,Desain Grafis & Branding,Desain Feed Instagram,mz****ri,2017-05-13 13:42:00,2023-10-09 16:56:00,,1900-01-03 00:00:00,0
Logo bengkel,contest,Desain Grafis & Branding,Desain Logo,fe******63,2023-10-09 20:46:00,2023-10-09 20:51:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Brosur/Flyer (1 Halaman/Lipat 2/Lipat 3),package,Desain Grafis & Branding,Desain Brosur/Flyer,me*********ro,2018-07-26 14:22:00,2023-10-10 08:55:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Brosur/Flyer (1 Halaman/Lipat 2/Lipat 3),package,Desain Grafis & Branding,Desain Brosur/Flyer,ok*********es,2023-10-05 09:55:00,2023-10-10 09:25:00,,1900-01-03 00:00:00,0
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,2023-10-04 17:13:00,2023-10-10 16:55:00,,1900-01-03 00:00:00,0
(Package - BASIC) Setup dan Mengelola Iklan Berbayar di Google Ads per Bulan,package,Pemasaran & Periklanan,Search Engine Marketing (SEM),ak********za,2018-07-16 13:01:00,2023-10-10 17:02:00,,1900-01-03 00:00:00,0
Test Product KJS laKSjLKJ,contest,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-11 09:50:00,,1900-01-03 00:00:00,0
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,2023-10-04 17:13:00,2023-10-11 10:27:00,,1900-01-03 00:00:00,0
Desain Logo Modern dan Timeless untuk Bisnis Anda,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ri***********ys,2023-10-04 17:13:00,2023-10-11 10:32:00,,1900-01-03 00:00:00,0
Jasa Desain Logo Profesional,gigs,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-11 10:38:00,,1900-01-03 00:00:00,0
Kontes Desain Logo Motoxpert,contest,Desain Grafis & Branding,Desain Logo,ag*********23,2023-06-06 06:24:00,2023-10-11 11:43:00,,1900-01-03 00:00:00,0
test for testing purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-11 15:13:00,,1900-01-03 00:00:00,0
Kontes Desain Label Untuk Mainan Anak Eggsy Boncha,contest,Desain Grafis & Branding,Desain Label,bo******04,2015-03-25 15:27:00,2023-10-11 15:20:00,,1900-01-03 00:00:00,0
Kontes Desain Logo untuk PT Phitagoras Integra Konsultama,contest,Desain Grafis & Branding,Desain Logo,mi******08,2023-09-18 08:58:00,2023-10-12 08:25:00,,1900-01-03 00:00:00,0
test for test,contest,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-12 13:41:00,,1900-01-03 00:00:00,0
Job Upgrade Resolusi Desain Logo,private,,,in******12,2023-10-12 11:22:00,2023-10-12 14:53:00,,1900-01-03 00:00:00,0
Sribu Tech Full Time Backend Deeveloper,package,Web & Pemrograman,Pengembangan Website Lainnya,mi******95,2023-10-12 15:24:00,2023-10-12 15:39:00,,1900-01-03 00:00:00,0
"(Package - BASIC) Optimasi SEO Website per Bulan (Riset Keyword, Perapihan Konten Website, Target Keyword Halaman Pertama Google)",package,Pemasaran & Periklanan,SEO (Search Engine Optimization),ca******33,2023-10-10 13:48:00,2023-10-12 15:42:00,,1900-01-03 00:00:00,0
Desain interior untuk kafe,contest,Desain Grafis & Branding,Desain Interior,er******55,2023-10-12 10:23:00,2023-10-12 16:53:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pembuatan Akun Instagram Bisnis (3-9 Konten),package,Pemasaran & Periklanan,Pembuatan Akun Instagram,je******88,2023-10-12 18:39:00,2023-10-12 18:41:00,,1900-01-03 00:00:00,0
Pembuatan website company profile baru,private,,,ri****mj,2020-10-30 10:15:00,2023-10-13 11:01:00,,1900-01-03 00:00:00,0
Kontes Desain Logo untuk Brand Tonata,contest,Desain Grafis & Branding,Desain Logo,ad****ls,2023-09-19 10:57:00,2023-10-13 14:00:00,,1900-01-03 00:00:00,0
"(Package - BASIC) Optimasi SEO Website per Bulan (Riset Keyword, Perapihan Konten Website, Target Keyword Halaman Pertama Google)",package,Pemasaran & Periklanan,SEO (Search Engine Optimization),in******39,2023-10-13 15:43:00,2023-10-13 15:58:00,,1900-01-03 00:00:00,0
Property Show Logo Rebranding,contest,Desain Grafis & Branding,Desain Logo,in******re,2021-11-07 11:48:00,2023-10-13 18:54:00,,1900-01-03 00:00:00,0
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,de******95,2023-10-13 20:01:00,2023-10-13 20:09:00,,1900-01-03 00:00:00,0
Jasa Desain Logo Profesional,gigs,Desain Grafis & Branding,Desain Logo,si*by,2016-05-03 11:16:00,2023-10-14 10:06:00,,1900-01-03 00:00:00,0
"Desain Logo Perusahaan, Bisnis dan UKM profesional",gigs,Desain Grafis & Branding,Desain Logo,si*by,2016-05-03 11:16:00,2023-10-14 10:25:00,,1900-01-03 00:00:00,0
Penulisan Press Release yang Informatif sesuai kaidah jurnalistik,gigs,Penulisan & Penerjemahan,Siaran Pers,ab******04,2023-10-15 23:00:00,2023-10-15 23:05:00,,1900-01-03 00:00:00,0
Jasa Bantuan Masalah Kredit Mobil,gigs,Konsultasi,Konsultan Hukum,di******97,2023-10-15 23:19:00,2023-10-15 23:24:00,,1900-01-03 00:00:00,0
Desain Logo untuk Perusahaan Pelayaran PT Benua Nusantara Armada,contest,Desain Grafis & Branding,Desain Logo,co*******52,2020-09-09 14:59:00,2023-10-16 09:57:00,,1900-01-03 00:00:00,0
(10 HARI JADI) Penulisan Konten Blog,gigs,Penulisan & Penerjemahan,Artikel & Blog Pos,jo******09,2023-10-16 22:59:00,2023-10-16 23:11:00,,1900-01-03 00:00:00,0
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-17 09:13:00,,1900-01-03 00:00:00,0
Input Data Excel,gigs,Penulisan & Penerjemahan,Input Data di Excel,yh*****21,2023-10-17 09:22:00,2023-10-17 09:30:00,,1900-01-03 00:00:00,0
makanan ringan,contest,Desain Grafis & Branding,Desain Kemasan,ek******45,2023-10-17 12:27:00,2023-10-17 12:37:00,,1900-01-03 00:00:00,0
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Indonesia),package,Penulisan & Penerjemahan,Artikel & Blog Pos,ma******07,2023-10-17 15:40:00,2023-10-17 15:44:00,,1900-01-03 00:00:00,0
(Package - SENIOR) QA Engineer,package,Web & Pemrograman,Quality Assurance (QA),wi****ch,2020-02-26 14:36:00,2023-10-18 10:54:00,,1900-01-03 00:00:00,0
Desain Logo untuk Bisnismu menjadi lebih menarik,gigs,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-18 12:48:00,,1900-01-03 00:00:00,0
Desain Logo untuk Bisnismu menjadi lebih menarik,gigs,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-18 12:51:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,an******62,2023-10-18 13:25:00,2023-10-18 13:32:00,,1900-01-03 00:00:00,0
Desain Logo untuk Bisnismu menjadi lebih menarik,gigs,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-18 13:38:00,,1900-01-03 00:00:00,0
Voice Over Wanita Profesional (Indonesi/Inggris),gigs,"Video, Fotografi & Audio",Voice Over,re******39,2023-10-18 14:24:00,2023-10-18 14:59:00,,1900-01-03 00:00:00,0
Kontes Desain Logo,contest,Desain Grafis & Branding,Desain Logo & Stationery,li******55,2023-10-18 19:04:00,2023-10-18 19:14:00,,1900-01-03 00:00:00,0
Pembuatan Company Profile Panel Surya,public,,,ka*******or,2016-10-25 21:52:00,2023-10-18 22:41:00,,1900-01-03 00:00:00,0
(Package - JUNIOR) Frontend Developer,package,Web & Pemrograman,Pengembangan Website Lainnya,te*************ge,2023-04-10 11:59:00,2023-10-19 11:48:00,,1900-01-03 00:00:00,0
(Package - JUNIOR) Frontend Developer,package,Web & Pemrograman,Pengembangan Website Lainnya,te*************ge,2023-04-10 11:59:00,2023-10-19 11:50:00,,1900-01-03 00:00:00,0
Logo design herer,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-19 15:43:00,,1900-01-03 00:00:00,0
"(Three Days Translation Service) English Business Translation: Human Resource Management, product development research, Indonesia Employee Taxation Regulation (PPh 21), Proofreading article. Result: Reliable, accuracy in choosing vocabulary and grammar.",gigs,Penulisan & Penerjemahan,Penerjemah/Translate Bahasa Inggris,ay******73,2023-10-19 14:04:00,2023-10-19 15:59:00,,1900-01-03 00:00:00,0
Kalender baru,contest,Desain Grafis & Branding,Desain Kalender,wk******69,2023-10-19 22:03:00,2023-10-19 22:21:00,,1900-01-03 00:00:00,0
Meuhase Sabe Coffe Roastery,contest,Desain Grafis & Branding,Desain Kemasan,ma******34,2023-10-20 05:07:00,2023-10-20 05:24:00,,1900-01-03 00:00:00,0
(Package - PLUS) Terjemah Bahasa Indonesia ke Jepang (500-2500 Kata),package,Penulisan & Penerjemahan,Penerjemah/Translate Bahasa Jepang,ok*********es,2023-10-05 09:55:00,2023-10-20 07:57:00,,1900-01-03 00:00:00,0
Test for tracking purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-20 11:41:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Katalog Produk (1-15 Halaman),package,Desain Grafis & Branding,Desain Katalog,er**ka,2017-11-03 09:06:00,2023-10-20 12:01:00,,1900-01-03 00:00:00,0
Test purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-20 12:07:00,,1900-01-03 00:00:00,0
Test purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-20 12:17:00,,1900-01-03 00:00:00,0
test purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-20 12:19:00,,1900-01-03 00:00:00,0
test test test test,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-20 12:29:00,,1900-01-03 00:00:00,0
Tes kontes,contest,Desain Grafis & Branding,Desain Logo,ok*********es,2023-10-05 09:55:00,2023-10-20 12:32:00,,1900-01-03 00:00:00,0
Test purpose,contest,Desain Grafis & Branding,Desain Logo,ti******33,2023-10-20 15:39:00,2023-10-20 15:44:00,,1900-01-03 00:00:00,0
Carwash Balikpapan ( kucuci ),contest,Desain Grafis & Branding,Desain Logo,cl******31,2023-10-20 16:10:00,2023-10-20 16:46:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,le******42,2023-10-20 16:37:00,2023-10-20 16:50:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,le******42,2023-10-20 16:37:00,2023-10-20 17:01:00,,1900-01-03 00:00:00,0
(Package - PLUS) Desain Kaos (1-3 Pilihan Desain),package,Desain Grafis & Branding,Desain Baju,mu******97,2023-10-21 11:06:00,2023-10-21 11:10:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pembuatan Akun Marketplace Shopee/ Tokopedia/ Lainnya (5-15 SKU),package,Pemasaran & Periklanan,Ecommerce Marketing,ag******68,2023-10-21 15:09:00,2023-10-21 15:14:00,,1900-01-03 00:00:00,0
Mela test aja,contest,Desain Grafis & Branding,Desain Logo & Stationery,si*by,2016-05-03 11:16:00,2023-10-21 17:19:00,,1900-01-03 00:00:00,0
Penerjemahan Teks Bahasa Jepang - Bahasa Indonesia,gigs,Penulisan & Penerjemahan,Penerjemah/Translate Bahasa Jepang,ak******71,2023-10-23 10:25:00,2023-10-23 10:27:00,,1900-01-03 00:00:00,0
Dari Bijih Kopi hingga Kartu Pokemon: Desain Logo Nice Coffee & Co,contest,Desain Grafis & Branding,Desain Logo,he********84,2015-09-16 21:08:00,2023-10-23 10:51:00,,1900-01-03 00:00:00,0
"Desain Logo Profesional, Elegan, dan Minimalis (1-3 Hari Jadi)",gigs,Desain Grafis & Branding,Desain Logo,he********84,2015-09-16 21:08:00,2023-10-23 15:34:00,,1900-01-03 00:00:00,0
Test Purpose,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-23 22:07:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-24 01:16:00,,1900-01-03 00:00:00,0
Landing Page Premium Murah,gigs,Web & Pemrograman,Pembuatan Website,ps******29,2023-10-24 09:51:00,2023-10-24 10:07:00,,1900-01-03 00:00:00,0
Pembuatan Landing Page 1 halaman untuk Get Spirit,private,,,ps******29,2023-10-24 09:51:00,2023-10-24 10:51:00,,1900-01-03 00:00:00,0
Test Testasd,contest,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-24 12:26:00,,1900-01-03 00:00:00,0
Desain Logo untuk Bisnismu menjadi lebih menarik,gigs,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-24 13:54:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-24 14:05:00,,1900-01-03 00:00:00,0
Test for Test,contest,Desain Grafis & Branding,Desain Logo,ri******75,2023-08-02 11:06:00,2023-10-24 14:23:00,,1900-01-03 00:00:00,0
Jasa Pembuatan Website Profesional,gigs,Web & Pemrograman,Pembuatan Website,ri******75,2023-08-02 11:06:00,2023-10-24 16:55:00,,1900-01-03 00:00:00,0
logo satukerja,contest,Desain Grafis & Branding,Desain Logo,he******20,2023-10-23 17:26:00,2023-10-24 17:55:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pembuatan Landing Page di WordPress (3-8 Section),package,Web & Pemrograman,Pembuatan Landing Page,al******97,2023-10-24 23:17:00,2023-10-24 23:18:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,am******30,2023-10-11 10:36:00,2023-10-24 23:54:00,,1900-01-03 00:00:00,0
Resize Pola Abstrak untuk Wallpaper,private,,,dh******88,2023-10-24 15:42:00,2023-10-25 09:27:00,,1900-01-03 00:00:00,0
Resize Pola Abstrak untuk Wallpaper,private,,,dh******88,2023-10-24 15:42:00,2023-10-25 09:35:00,,1900-01-03 00:00:00,0
Kontes Desain Produk untuk Laundry Bag,contest,Desain Grafis & Branding,Desain Produk,in******89,2023-10-25 14:08:00,2023-10-25 14:15:00,,1900-01-03 00:00:00,0
Jasa review google maps,gigs,Pemasaran & Periklanan,Review Google Maps,el******72,2023-10-25 12:10:00,2023-10-25 15:23:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,wi******78,2023-10-25 16:48:00,2023-10-25 16:50:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,za******00,2023-10-26 00:06:00,2023-10-26 01:19:00,,1900-01-03 00:00:00,0
Jasa Admin Online Shop,gigs,Pemasaran & Periklanan,Kelola Marketplace,he******48,2023-10-26 07:09:00,2023-10-26 07:10:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Edit Audio untuk Iklan/Video/Lainnya (1-60 Menit),package,"Video, Fotografi & Audio",Edit Suara,de******23,2023-10-26 09:31:00,2023-10-26 09:33:00,,1900-01-03 00:00:00,0
"Transformasikan Ide Anda Menjadi Aplikasi Web Berkualitas dan Terjangkau [LARAVEL,CODEIGNITER,NODE]",gigs,Web & Pemrograman,Pembuatan Website,ri*****i2,2014-11-19 16:46:00,2023-10-26 13:08:00,,1900-01-03 00:00:00,0
(Package - BASIC) Desain Kemasan untuk Box/Pouch/Sachet/Botol (1-3 Varian),package,Desain Grafis & Branding,Desain Kemasan,st******13,2023-10-25 22:10:00,2023-10-26 16:02:00,,1900-01-03 00:00:00,0
Buatlah Tahun Anda Lebih Berwarna dengan Desain Kalender Kreatif dan Unik,gigs,Desain Grafis & Branding,Desain Kalender,sa******68,2023-10-27 11:18:00,2023-10-27 11:24:00,,1900-01-03 00:00:00,0
Logo Design Contest for Gold Mining Company,contest,Desain Grafis & Branding,Desain Logo,mu*******tr,2016-09-09 20:21:00,2023-10-27 13:27:00,,1900-01-03 00:00:00,0
"Penulisan Artikel & Konten: Artikel Blog, Ilmiah, dan lainnya. Cepat, Akurat, Bebas Plagiat!",gigs,Penulisan & Penerjemahan,Artikel & Blog Pos,bi******78,2023-10-27 23:11:00,2023-10-27 23:15:00,,1900-01-03 00:00:00,0
Desain Logo Profesional,gigs,Desain Grafis & Branding,Desain Logo,mi**********ky,2022-06-06 21:18:00,2023-10-28 08:13:00,,1900-01-03 00:00:00,0
Paket Digital Marketing Setup dan Pemasangan serta Optimasi Iklan Platform IG/ FB/ Tiktok/ Marketplace,gigs,Konsultasi,Konsultan Digital Marketing,il******di,2015-01-15 13:02:00,2023-10-28 19:15:00,,1900-01-03 00:00:00,0
Test kontes 124,contest,Desain Grafis & Branding,Desain Logo,we******12,2023-10-28 20:26:00,2023-10-28 20:28:00,,1900-01-03 00:00:00,0
Kontes Desain Logo Tes Order,contest,Desain Grafis & Branding,Desain Logo,si*by,2016-05-03 11:16:00,2023-10-28 20:35:00,,1900-01-03 00:00:00,0
Desain logo,contest,Desain Grafis & Branding,Desain Maskot/Karakter,fa******29,2023-10-29 02:09:00,2023-10-29 02:32:00,,1900-01-03 00:00:00,0
"(Package - PREMIUM) Desain Stationery seperti Kartu Nama, Amplop, Kop Surat (1-2 Pilihan Desain)",package,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,sa******10,2023-10-29 10:28:00,2023-10-29 10:35:00,,1900-01-03 00:00:00,0
(Package - BASIC) Input Data di Excel/Spreadsheet (100-1000 Baris),package,Penulisan & Penerjemahan,Input Data di Excel,29******98,2023-10-30 01:24:00,2023-10-30 01:32:00,,1900-01-03 00:00:00,0
Nice Coffee,contest,Desain Grafis & Branding,Desain Logo,he********84,2015-09-16 21:08:00,2023-10-30 14:41:00,,1900-01-03 00:00:00,0
Jasa Desain Logo Perusahaan atau Bisnis Anda!,gigs,Desain Grafis & Branding,Desain Logo,yu*******26,2023-09-08 17:28:00,2023-10-30 18:13:00,,1900-01-03 00:00:00,0
